1|Anchoveta|Dorsalspines(total): 0;Analspines: 0. Body elongate, slender, and rounded in cross section; snout long and prominent; lower branch of first gill arch with 34 to 49 gill rakers; anal fin with fewer than 22 rays, located behind dorsal fin base; body shiny blue or green (Ref. 55763).  There is a silver stripe along flank in juveniles which disappears with age.  The high number of gill rakers distinguishes it from all Pacific species of Anchoa.|Southeast Pacific:  Aguja Point, Peru to Chiloé, Chile (distribution dependent on the coastal extent of the Peru Current).|Engraulis ringens|12|20|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/103__26042019_1608.jpg
3|Anguila común|Vertebrae: 150 - 160|Eastern Pacific:  Nicaragua to Chile.|Ophichthus remiger|60|85|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/106__10052019_1615.jpg
5|Argentina|Forms schools near the bottom (Ref. 9270).  Feeds on small crustaceans (Ref. 9270).  Utilized as fishmeal (Ref. 9270).  Minimum depth from Ref. 58018.|Eastern Pacific:  Nicaragua to Peru.|Argentina aliceae|15|15|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/304__Argentina_Argentina_aliceae_14022019_1538.jpg
6|Atún de aleta amarilla|Dorsalspines(total): 11 - 14;Dorsalsoft rays(total): 12-16;Analspines: 0;Analsoft rays: 11 - 16;Vertebrae: 39. This large species is distinguished by the following characters: elongate, fusiform body, slightly compressed laterally; total gill rakers on first gill arch 26-34; dorsal fins 2 and separated only by a narrow interspace, the second followed by 8-10 finlets; anal fin followed by 7 to 10 finlets; large specimens may have very long second dorsal and anal fins, becoming well over 20% of fork length; pectoral fins moderately long, usually reaching beyond second dorsal-fin origin but not beyond end of its base, usually 22-31% of FL; 2 flaps (interpelvic process) between pelvic fins; body with very small scales; corselet of larger scales developed but not very distinct; caudal peduncle very slender, bearing on each side a strong lateral keel between 2 smaller keels; no striations on ventral surface of liver; swimbladder present. Colour of back metallic dark blue changing through yellow to silver on belly; belly frequently crossed by about 20 broken, nearly vertical lines; dorsal and anal fins, and dorsal and anal finlets bright yellow, the finlets with a narrow black border (Ref. 9684).|Worldwide in tropical and subtropical seas, but absent from the Mediterranean Sea.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).|Thunnus albacares|150|239|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/107__26042019_1553.jpg
7|Atún de ojo grande|Dorsalspines(total): 13 - 14;Dorsalsoft rays(total): 14-15;Analspines: 0;Analsoft rays: 14;Vertebrae: 39. This large species is distinguished by the following characters: robust, fusiform body, slightly compressed from side to side; total gill rakers on first gill arch 23-31; dorsal fins separated only by a narrow interspace, the second followed by 8-10 finlets; anal fin followed by 7-10 finlets; pectoral fins moderately long (22 to 31% of fork length) in large specimens (over 110 cm FL), but very long (as long as in Thunnus alalunga) in smaller specimens; 2 flaps (interpelvic process) between pelvic fins; very small scales on body; corselet of larger and thicker scales developed, but not very distinct; caudal peduncle very slender, with a strong lateral keel between 2 smaller keels; ventral surface of liver striated; swimbladder present. Colour of back metallic dark blue, lower sides and belly whitish; a lateral iridescent blue band runs along sides in live specimens; first dorsal fin deep yellow, second dorsal and anal fins light yellow, finlets bright yellow edged with black (Ref. 9684).|Atlantic, Indian and Pacific:  in tropical and subtropical waters.  Absent in the Mediterranean.  Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea (Ref. 26139).|Thunnus obesus|125|250|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/256__10052019_1538.jpg
8|Bagre con faja|This species is distinguished by the following characters:  slender head and body, with body posteriorly well tapered; pointed caudal fin lobes, upper lobe longer; long and narrow caudal peduncle; lateral body with silvery to reddish stripe; tooth patches posterior to premaxillary tooth band slightly separated at midline; Anterior gillrakers on first arch 13-15; external skull with shallow, narrow dorsomedian groove, extending from interorbital area to base of supraoccipital; cranial fontanelles (of exposed skull) set within steeply-welled median cranial depression, or fissure, with nearly parallel sides; rugose skull, striate and tuberculate in part; swimbladder angularly heart-shaped and anterior margins more triangular than rounded, longitudinal septum of posterior chamber of swimbladder traversed by one smaller septum; aortic canal on ventral side of Weberian apparatus uncovered by lamellae (no aortic tunnel formed); Müllerian ramus of fourth vertebra with irregularly textured, ovoid, concave facet on ventral side; posterior (humeral) process of the cleithrum broad and blade-like (Ref. 85159).|Southeastern Pacific: Peru.|Galeichthys peruvianus|35|35|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/493__18022019_1414.jpg
9|Barbudo amarillo|Dorsalspines(total): 9;Dorsalsoft rays(total): 11-13;Analspines: 3;Analsoft rays: 12 - 14. Body and fins yellowish; no stripes or spots.  Anterior parts of lower jaw with villiform teeth extending onto lateral surface, adjacent part of lip poorly developed in large specimens.  Vomerine teeth present.  Maxilla covered with small deciduous scales.  Pectoral filaments 9.  Lateral line unbranched, extending to upper end of caudal fin lobe.  Swim bladder absent (Ref. 45049).|Eastern Pacific:  Los Angeles Harbor in California, USA to off Paita, Peru; rare north of Baja California, Mexico.|Polydactylus opercularis|25|50|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/477__11042019_1212.jpg
10|Barbudo azul|Dorsalspines(total): 9;Dorsalsoft rays(total): 11-13;Analspines: 3;Analsoft rays: 13 - 15;Vertebrae: 24. Body grayish, no stripes or spots.  Lip on lower jaw well developed.  Dentary teeth restricted to dorsal surface.  Maxilla not covered with scales.  Pectoral filaments 6; longest not reaching beyond level of posterior end of anal fin base.  Lateral line bifurcated on caudal fin membranes, extending to posterior margins of upper and lower caudal fin lobes.  Swim bladder present (Ref. 45049).|Eastern Pacific:  Monterey Bay, California, USA to Callao, Peru.  One record from the  Galapagos Islands.  Rare north of Baja California, Mexico (Ref. 2850).  Record from Chile (Ref. 9068) needs to be verified (Ref. 57343).|Polydactylus approximans|20|36|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/113__11042019_1143.jpg
11|Bereche|Body moderately short, and not very deep; back little arched or elevated; mouth large and oblique; posterior end of upper jaw extending beyond center of eye; snout with 3 dorsql pores; lower branch of first gill arch with 20 to 21 gill rakers; pectoral fins with 16 to 17 rays; ctenoid scales on body; body gray to silvery brown, darker dorsally; flanks with very distinct black stripes along the scales rows; fins pale to grayish (Ref. 55763).|Eastern Pacific:  Mexico to Peru.|Larimus pacificus|18|32|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/534__11042019_1146.jpg
12|Bereche con barbo|Found over hard and muddy bottoms (Ref. 9118).  Feeds on zooplankton, euphausiids and other small crustaceans (Ref. 9118).  Often caught with Merluccius gayi (Ref. 9118).|Southeast Pacific:  Peru.|Ctenosciaena peruviana|16|21|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/286__11042019_1145.jpg
13|Berrugata|Body deep and moderately compressed, the depth much greater than head length; eyes small; upper jaw scarcely protractile; vomer, palate and tongue toothless; nostrils round and close together; preopercle distinctly serrated; lower branch of first gill arch with 15 gill rakers; in large individuals, the dorsal and anal fins, along with the caudal fin, appear like 3 caudal fins; body olive colored, speckled with dark spots; juveniles yellowish with dark spots (Ref. 55763).|Eastern Pacific:  Nicaragua to Peru (Ref. 9312).  Mexico and Sea of cortez (Ref. 97273)|Lobotes pacificus|50|100|https://biodiversidadacuatica.imarpe.gob.pe/Content/uploads/minifichas/PEZ.png
14|Bocón|"Dorsalspines(total): 3 - 4;Dorsalsoft rays(total): 8;Analspines: 0;Analsoft rays: 6 - 7;Vertebrae: 19. Head and anterior part of the body depressed; posterior part of body gradually narrowing; back and sides of head with numerous spines; first dorsal fin formed by 3 isolated cephalic spines, the first of which resembles a fishing rod (bearing a scale that looks like ""bait"" and two prominent, dark ""eyes"") and three more short, thin, post-cephalic spines connected by a low membrane. Back brown or dark brown; belly lighter; fins darker distally but may have light edges; caudal fin with a vertical row of 6 pale spots (Ref. 55763).   Head is flattened and mouth is large.  The first two dorsal fin spines are displaced far forward (onto the snout), and the first is modified into a lure to attract prey.  Branchiostegal rays:  6 (Ref. 36490)."|Eastern Pacific:  Baja California, Mexico to Peru.  Range extends northward to the vicinity of Morro Bay, California (Ref. 36490).|Lophiodes caulinaris|30|40|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/432__11042019_1140.jpg
15|Bonito|Dorsalspines(total): 17 - 19;Analsoft rays: 12 - 15;Vertebrae: 42 - 46. Mouth moderately large.  Laminae of olfactory rosette 21 to 39.  Interpelvic process small and bifid.  Swim bladder absent.  Spleen large and prominent in ventral view.  Liver with elongate left and right lobes and a short middle lobe.  Body completely covered with very small scales posterior to the corselet.|Southeast Pacific:  northern Peru to Talcahuano, Chile (Ref. 9340).  The northern subspecies Sarda chiliensis lineolata occurs from off the coast of Alaska, southward to Cabo San Lucas at the tip of Baja California, and in the Revillagigedo Islands.|Sarda chiliensis chiliensis|102|102|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/122__29042019_1537.jpg
17|Bulldog|Found on bottom.  Feeds mainly on other fishes.  Young are pelagic and eaten by large predatory fishes such as tunas.  Spine above pectoral fin probably slightly venomous.|Eastern Pacific:  California, USA to Isla Lobos de Tierra, Peru and the Galapagos Islands.  Rare north of central Baja California, Mexico (Ref. 2850).|Kathetostoma averruncus|32|32|https://biodiversidadacuatica.imarpe.gob.pe/ImagenEspecies/Catalogo/482__11042019_1158.jpg
